id	rate
1001	.9097
1003	.9091
1005	.9134
1007	.9121
1009	.9099
1011	.9164
1013	.9167
1015	.9108
1017	.9186
1019	.9118
1021	.9099
1023	.9127
1025	.917
1027	.9159
1029	.9104
1031	.9085
1033	.9114
1035	.9195
1037	.914
1039	.9101
1041	.9097
1043	.9096
1045	.9093
1047	.9211
1049	.9143
1051	.909
1053	.9129
1055	.9107
1057	.9128
1059	.9123
1061	.91
1063	.9147
1065	.9127
1067	.9099
1069	.9089
1071	.9118
1073	.9107
1075	.9148
1077	.9105
1079	.9136
1081	.9086
1083	.9093
1085	.9185
1087	.9114
1089	.9075
1091	.9148
1093	.9152
1095	.9092
1097	.9111
1099	.9187
1101	.9102
1103	.9104
1105	.9198
1107	.913
1109	.9087
1111	.9151
1113	.9126
1115	.9107
1117	.9076
1119	.9139
1121	.9136
1123	.9137
1125	.909
1127	.9119
1129	.9151
1131	.9256
1133	.9175
2013	.9101
2016	.9084
2020	.907
2050	.9148
2060	.9036
2068	.9034
2070	.9084
2090	.9069
2100	.9062
2110	.9057
2122	.9097
2130	.9061
2150	.9066
2164	.9059
2170	.9088
2180	.9121
2185	.9057
2188	.9132
2201	.9136
2220	.9059
2232	.9073
2240	.9081
2261	.9064
2270	.9204
2280	.9098
2282	.9063
2290	.9136
4001	.9148
4003	.9074
4005	.9077
4007	.9109
4009	.9144
4011	.9215
4012	.9089
4013	.9085
4015	.9102
4017	.9142
4019	.9084
4021	.9118
4023	.9172
4025	.9095
4027	.9242
5001	.9143
5003	.9091
5005	.9082
5007	.9053
5009	.9064
5011	.9078
5013	.9062
5015	.9043
5017	.9096
5019	.9063
5021	.9104
5023	.9059
5025	.906
5027	.9081
5029	.9065
5031	.9059
5033	.9066
5035	.9099
5037	.9071
5039	.9076
5041	.9099
5043	.9091
5045	.906
5047	.9059
5049	.9061
5051	.9066
5053	.9057
5055	.9082
5057	.9086
5059	.9073
5061	.9072
5063	.9078
5065	.9077
5067	.9092
5069	.9092
5071	.9061
5073	.9086
5075	.9079
5077	.9082
5079	.9082
5081	.9056
5083	.9077
5085	.9052
5087	.9053
5089	.9112
5091	.9045
5093	.9113
5095	.9074
5097	.9058
5099	.9087
5101	.9062
5103	.9071
5105	.9056
5107	.9088
5109	.9063
5111	.9075
5113	.9064
5115	.9062
5117	.9067
5119	.906
5121	.9073
5123	.9094
5125	.9058
5127	.9063
5129	.9059
5131	.9062
5133	.9051
5135	.9078
5137	.9066
5139	.9095
5141	.9091
5143	.905
5145	.9067
5147	.9091
5149	.9064
6001	.9113
6003	.9152
6005	.9121
6007	.9122
6009	.9143
6011	.9145
6013	.9112
6015	.9119
6017	.9112
6019	.9141
6021	.9138
6023	.9103
6025	.9301
6027	.9095
6029	.9139
6031	.9139
